Sample,Type,Latitude,Longitude,Beach/Well,Type,Fit,Family,Rank,PDBx,Ts/Tm,C26/Tet,C28/C29,PAH-RI,SC2D/SC2P,SC3D/SC3P,C28/C29TT,C20/C23TT,C22/C21TT,C24/C23TT,C26/C25TT,C31S/H,C29H/H,C35/C34S hopanes,BNH/H,OI/H,G/H,C29Ts/C29H
99-47,Tar,33.96783,-119.70752,Santa Cruz Island,Training,n/a,35,< 5,-23.4,0.23,5.6,1.2,152,3.9,4,0.65,0.09,0.76,0.38,0.69,0.54,0.71,1.5,0.41,0.04,0.06,0.07
99-48,Tar,33.96873,-119.7077,Santa Cruz Island,Training,n/a,212,< 5,-23.7,0.24,5.3,1.2,39,2,2.3,0.76,0.18,0.4,0.53,0.76,0.49,0.67,1.5,1.6,0.04,0.07,0.08
99-50,Seep,34.01595,-119.62195,Santa Cruz Island,Training,n/a,22,< 5,-23.7,0.2,2.9,0.62,0,0,0,0.63,0.11,0.44,0.67,0.63,0.44,0.67,1.6,2.9,0.02,0.16,0.08
99-54,Tar,34.0161,-119.61968,Santa Cruz Island,Training,n/a,22,< 5,-23.5,0.2,3.7,1.1,75,2.2,2.4,0.71,0.12,0.58,0.4,0.75,0.47,0.71,1.9,1.8,0.03,0.11,0.07
99-55,Tar,34.01743,-119.61642,Santa Cruz Island,Training,n/a,22,< 5,-23.7,0.2,3.7,1,76,2.2,2.6,0.69,0.13,0.6,0.38,0.74,0.49,0.71,2,1.9,0.03,0.11,0.07
99-58,Tar,34.01962,-119.68607,Santa Cruz Island,Training,n/a,22,< 5,-23.5,0.27,4.7,1.1,20,1.3,1.3,0.69,0.14,0.46,0.53,0.76,0.49,0.71,1.7,1,0.05,0.08,0.08
99-59,Tar,34.05938,-119.92362,Santa Cruz Island,Training,n/a,22,< 5,-23.5,0.2,3.6,1.1,47,2,2.4,0.71,0.14,0.51,0.43,0.74,0.49,0.71,1.9,1.4,0.03,0.1,0.07
99-60,Tar,33.96273,-119.75265,Santa Cruz Island,Training,n/a,22,< 5,-23.7,0.21,3.9,1,57,2.1,2.1,0.72,0.14,0.51,0.43,0.75,0.48,0.71,1.9,1.7,0.03,0.1,0.07
99-61,Tar,33.96302,-119.75262,Santa Cruz Island,Training,n/a,22,< 5,-23.6,0.19,3.6,1,46,2,2.4,0.71,0.14,0.52,0.43,0.74,0.47,0.71,1.9,1.5,0.03,0.1,0.07
99-62,Tar,33.96192,-119.75187,Santa Cruz Island,Training,n/a,35,< 5,-23.4,0.23,5.2,1.1,131,3.5,3.8,0.67,0.1,0.74,0.38,0.7,0.54,0.71,1.5,0.62,0.03,0.07,0.07
