Sample,Type,Latitude,Longitude,Beach/Well,Type,Fit,Family,Rank,PDBx,Ts/Tm,C26/Tet,C28/C29,PAH-RI,SC2D/SC2P,SC3D/SC3P,C28/C29TT,C20/C23TT,C22/C21TT,C24/C23TT,C26/C25TT,C31S/H,C29H/H,C35/C34S hopanes,BNH/H,OI/H,G/H,C29Ts/C29H
05-4,Oil,34.39073,-120.12053,XOM Hondo H-3,Training,n/a,212,< 5,-23.1,0.32,3.9,1.1,64,1.7,1.9,0.82,0.19,0.37,0.53,0.7,0.46,0.63,1.4,0.77,0.04,0.08,0.17
05-5,Oil,34.39073,-120.12053,XOM Hondo H-15st,Training,n/a,22,< 5,-23.3,0.21,3,1.2,45,2,2.2,0.76,0.18,0.48,0.48,0.71,0.5,0.71,1.4,0.88,0.03,0.08,0.13
05-6,Oil,34.39073,-120.12053,XOM Hondo H-23,Training,n/a,22,< 5,-23.4,0.37,3.1,1.1,19,1.5,1.8,0.76,0.17,0.51,0.45,0.72,0.5,0.71,1.5,0.89,0.04,0.09,0.18
05-7,Oil,34.35039,-120.27918,Heritage HE-1,Training,n/a,22,< 5,-23.5,0.21,3.2,1.2,58,2.1,2.3,0.75,0.16,0.52,0.43,0.7,0.53,0.71,1.5,1.2,0.03,0.1,0.12
05-8,Oil,34.35039,-120.27918,Heritage HE-9,Training,n/a,22,< 5,-23.3,0.22,3.5,1.1,59,2.1,2.4,0.73,0.15,0.53,0.45,0.73,0.55,0.71,1.5,1,0.03,0.1,0.13
05-9,Oil,34.35039,-120.27918,Heritage HE-12,Training,n/a,22,< 5,-23.5,0.21,3.3,1.2,59,2.3,2.6,0.74,0.15,0.56,0.42,0.74,0.55,0.71,1.6,1.1,0.03,0.1,0.12
05-10,Oil,34.35039,-120.27918,Heritage SA-1,Training,n/a,22,< 5,-23.3,0.22,3.4,1.2,50,1.9,2.1,0.79,0.16,0.54,0.43,0.71,0.53,0.71,1.5,1.1,0.03,0.1,0.14
05-11,Oil,34.35039,-120.27918,Heritage SA-9,Training,n/a,22,< 5,-23.6,0.21,3.5,1.1,49,2.4,3,0.79,0.14,0.57,0.4,0.72,0.5,0.67,1.8,2.1,0.03,0.1,0.11
05-88,Seep,34.4,-119.88105,Coal Oil Point,Training,n/a,22,< 5,-24.9,0.26,3.8,1.1,53,1.8,2.2,0.81,0.15,0.53,0.48,0.77,0.57,0.77,1.6,1.1,0.04,0.1,0.12
05-90,Seep,34.36453,-119.83778,Coal Oil Point,Training,n/a,11,< 5,0,0.91,6.8,1.2,2,0.41,0.48,0.89,0.31,0.22,0.77,0.95,0.38,0.5,0.55,0.2,0.13,0,0.48
05-91,Seep,34.39394,-119.87766,"Trilogy seep, UCSB",Training,n/a,211,< 5,-23.9,0.36,4.9,1.1,10,0.9,1.2,0.84,0.2,0.39,0.56,0.84,0.53,0.71,1.6,0.82,0.07,0.08,0.17
05-92,Seep,34.37073,-119.84559,Coal Oil Point,Training,n/a,11,< 5,0,0.67,6.5,1.2,3,0.7,0.85,0.82,0.26,0.29,0.71,0.87,0.4,0.59,0.69,0.24,0.11,0.06,0.36
05-93,Seep,34.36788,-119.83598,Coal Oil Point,Training,n/a,11,< 5,0,0.71,6.7,1.2,3,0.7,0.84,0.87,0.26,0.26,0.71,0.88,0.44,0.59,0.61,0.27,0.12,0,0.4
05-94,Seep,34.36383,-119.82619,Coal Oil Point,Training,n/a,11,< 5,0,0.91,8.3,1.1,1,0.43,0.46,0.91,0.29,0.24,0.83,1,0.38,0.5,0.49,0.2,0.15,0,0.48
05-96,Seep,34.39713,-119.92216,Coal Oil Point,Training,n/a,11,< 5,0,0.63,6.3,1.1,4,0.58,0.76,0.87,0.19,0.3,0.71,0.87,0.45,0.71,0.9,0.43,0.12,0.07,0.27
05-217,Seep,36.69867,-123.20395,Monterey Canyon,Training,n/a,212,< 5,-23,0.34,4.4,1.2,41,0,0,0.83,0.18,0.43,0.53,0.82,0.51,0.67,1.4,0.88,0.05,0.08,0.17
05-218,Seep,36.69867,-123.20395,Monterey Canyon,Training,n/a,22,< 5,-23.1,0.24,3.5,1.1,74,1.5,2.1,0.86,0.16,0.5,0.43,0.76,0.48,0.67,1.7,1.5,0.04,0.11,0.12
05-219,Seep,36.69867,-123.20395,Monterey Canyon,Training,n/a,212,< 5,-23,0.33,4.4,1.2,35,0,0,0.84,0.19,0.43,0.56,0.81,0.51,0.67,1.5,0.9,0.05,0.08,0.16
05-221,Seep,36.69867,-123.20395,Monterey Canyon,Training,n/a,22,< 5,-23.1,0.22,3.4,1.2,81,1.4,1.8,0.8,0.15,0.51,0.43,0.76,0.46,0.71,1.7,1.7,0.03,0.12,0.11
05-222,Seep,36.66377,-123.08735,Monterey Canyon,Training,n/a,22,< 5,-23.1,0.23,3.3,1.2,75,1.4,2,0.82,0.16,0.52,0.43,0.75,0.48,0.67,1.7,1.6,0.03,0.11,0.11
05-223,Seep,36.66377,-123.08735,Monterey Canyon,Training,n/a,22,< 5,-23.2,0.24,3.3,1.2,95,1.6,2.1,0.79,0.15,0.54,0.42,0.75,0.45,0.71,1.7,1.8,0.03,0.11,0.11
05-341,Seep,34.3928,-119.87822,"Trilogy seep, UCSB",Training,n/a,211,< 5,0,0.38,4.9,1.2,8,0.96,1.4,0.83,0.24,0.39,0.59,0.83,0.47,0.67,1.5,0.85,0.07,0.08,0.16
05-348,Seep,34.41982,-119.60365,Summerland field,Training,n/a,12,< 5,0,1.14,4.1,0.95,1,0.07,0.16,1.2,0.3,0.21,0.67,0.94,0.32,0.53,0.48,0,0.04,0.03,0.32
05-349,Seep,34.41982,-119.60365,Summerland field,Training,n/a,12,< 5,0,1.12,4.1,0.95,1,0.07,0.16,1.2,0.3,0.23,0.67,0.95,0.33,0.53,0.51,0,0.04,0.03,0.34
05-350,Tar,34.3956,-119.8566,Coal Oil Point,Training,n/a,11,< 5,0,0.77,6.4,1.3,1,0.54,0.62,0.89,0.32,0.23,0.76,0.93,0.36,0.59,0.6,0.26,0.12,0.06,0.38
05-351,Tar,34.3945,-119.8933,Coal Oil Point,Training,n/a,14,< 5,0,0.45,5.3,1.2,5,0.85,1.1,0.84,0.25,0.33,0.61,0.86,0.45,0.67,1.2,0.64,0.09,0.07,0.22
06-1,Seep,34.33238,-119.6161,Dos Cuadros (Plat. A),Training,n/a,11,< 5,0,0.53,4.5,1.2,21,0.66,0.7,0.94,0.37,0.23,0.63,0.87,0.27,0.5,0.7,0.32,0.08,0.05,0.28
06-2,Seep,34.33252,-119.6157,Dos Cuadros (Plat. A),Training,n/a,11,< 5,0,0.53,5.1,1.2,20,0.66,0.71,0.95,0.31,0.24,0.65,0.89,0.27,0.48,0.69,0.34,0.08,0.05,0.29
06-3,Seep,34.33187,-119.61507,Dos Cuadros (Plat. A),Training,n/a,11,< 5,0,0.5,5.8,1.3,20,0.71,0.69,0.93,0.34,0.2,0.68,0.92,0.26,0.45,0.67,0.32,0.08,0.05,0.3
06-4,Seep,34.33165,-119.61058,Dos Cuadros (Plat. A),Training,n/a,11,< 5,0,0.53,5.5,1.3,22,0.72,0.68,0.93,0.32,0.21,0.66,0.93,0.26,0.48,0.66,0.32,0.08,0.05,0.29
99-18,Oil,33.76288,-118.23489,Wilmington field,Training,n/a,0,< 5,-23.2,0.59,9.3,1.2,11,0.39,0.36,0.75,0.2,0.19,0.91,0.77,0.29,0.48,0.88,0.2,0.07,0.06,0.17
99-19,Oil,33.87689,-118.2991,Wilmington field,Training,n/a,0,< 5,-23.8,0.29,9.9,1.1,264,0.58,0.39,1.1,0.17,0.2,0.5,0.57,0.28,0.59,0.74,0.32,0.04,0.04,0.1
99-101,Oil,36.26913,-120.3651,Coalinga field,Training,n/a,0,< 5,-26.4,0.48,1.8,1.2,48,0.09,0.1,0.82,0.3,0.13,0.43,0.77,0.28,0.63,0.55,0.06,0.03,0.02,0.19
99-103,Oil,36.23,-120.386,Coalinga field,Training,n/a,0,< 5,0,1.05,3.8,0.75,4,0.19,0.23,0.86,0.19,0.21,0.61,0.81,0.41,0.91,0.67,0.06,0.19,0.04,0.3
00-68,Oil,37.76357,-122.38149,Ship Cape Monhican,Training,n/a,0,< 5,-27.2,0.4,2.1,0.71,0,0.69,0.84,0.94,0.22,0.52,0.44,0.69,0.44,1,1,0.11,0.1,0.11,0.15
03-94,Tar,34.88536,-120.63879,Casmalia,Training,n/a,0,< 5,-28.9,0.27,2.9,1,124,3.3,4.3,0.67,0.11,0.87,0.29,0.72,0.48,0.77,2,2.2,0.03,0.18,0.1
04-7,Oil,36.52618,-120.82653,Vallecitos field,Training,n/a,0,< 5,-29.8,1.01,3.7,1.2,8,0.19,0.21,0.95,0.18,0.26,0.67,0.9,0.3,0.45,0.54,0,0.05,0,0.41
04-272,Seep,34.40292,-119.87783,Coal Oil Point,Training,n/a,0,< 5,0,0.25,3.9,1.1,40,1.4,2.1,0.84,0.15,0.53,0.45,0.75,0.58,1.27,1.8,1.9,0.08,0.17,0.1
05-95,Seep,34.39048,-119.90927,Coal Oil Point,Training,n/a,0,< 5,-28.7,0.53,5.9,0.97,17,0.6,0.95,0.85,0.22,0.31,0.67,0.85,0.46,1.22,1.2,0.87,0.17,0.13,0.17
97-9,Tar,37.275,-122.23667,Tarwater Creek,New,n/a,0,> 6,-22.4,0,23,0,14,0,0,1.2,0.38,0.19,0.68,1.1,0,0,0,0,0,0,0
97-10,Tar,37.275,-122.23667,Tarwater Creek,New,n/a,0,> 6,-22.4,0,23,0,15,0,0,1.2,0.32,0.2,0.66,1,0,0,0,0,0,0,0
97-16,Seep,36.17833,-121.6295,Point Sur,New,n/a,0,> 6,-22.5,0.31,4.5,0,25,0.3,1,0.75,0.29,0.31,0.59,0.78,0,0,2.1,0,0,0,0.1
97-21,Tar,37.26666,-122.41,San Mateo Coast,New,Excellent,22,> 5,-23.2,0.22,3.4,1.1,47,2,2.4,0.79,0.19,0.47,0.42,0.76,0.53,0.67,2.1,1.4,0.03,0.1,0.12
97-36,Tar,35.15686,-120.67863,Shell,New,No fit,0,> 5,-22.7,0.21,2.9,0,122,3,3.3,0.59,0.12,0.73,0.37,0.67,0.6,0.71,2.1,0.42,0.03,0.11,0.12
97-37,Tar,35.15682,-120.67863,Shell,New,No fit,0,> 5,-22.7,0.21,3,0,136,3,3.1,0.59,0.12,0.74,0.37,0.7,0.57,0.63,2.3,0.39,0.03,0.1,0.12
98-44,Tar,37.1821,-122.39491,San Mateo Coast,New,Excellent,22,> 5,-22.7,0.24,5.3,0,65,1.7,1.8,0.69,0.15,0.51,0.5,0.76,0.51,0.71,1.9,0.74,0.04,0.09,0.07
98-46,Tar,37.18167,-122.395,San Mateo Coast,New,Excellent,22,> 5,-23.2,0.2,3.8,0.91,67,1.8,2.4,0.7,0.14,0.53,0.43,0.75,0.52,0.71,2,1.5,0.03,0.12,0.07
98-55,Seep,36.99177,-122.13635,San Mateo Coast,New,No fit,13,> 5,-22,0.23,6.7,0,146,0,1.2,0.85,0.3,0.16,0.78,0.92,0.3,0.67,1.2,0.35,0.07,0.3,0.11
98-56,Seep,36.99177,-122.13635,San Mateo Coast,New,n/a,0,> 6,-22,0.24,6.8,0,165,0,0.61,0.82,0.29,0.17,0.79,0.91,2.5,5.56,1.1,0.65,0.62,2.6,0.1
98-70,Seep,37.92943,-122.74433,Point Reyes,New,n/a,0,> 6,-22.1,0.29,6.1,0,166,0,0,0.8,0.23,0.22,0.8,0.94,0,20,0,0,1.9,4.5,0.11
98-75,Seep,37.96151,-122.78718,Point Reyes,New,No fit,13,> 5,-22.3,0.22,6.5,0,183,0,0.41,0.87,0.28,0.18,0.76,1.1,0.33,0.67,0.9,0.26,0.13,0.25,0.47
98-79,Seep,34.39163,-119.85703,Coal Oil Point,New,n/a,0,< 5,-22.2,0.63,7.5,1.1,2,0,0,0,0.23,0.25,0.78,0,0.34,0.56,1.1,0.24,0.1,0.05,0.16
98-92,Seep,35.1756,-120.71684,Morro Bay,New,n/a,0,> 6,-22.4,0.29,4.4,0,104,0,0,0.74,0.33,0.28,0.87,0.88,0,50,0,0,2.5,10,0.09
98-95,Tar,35.28883,-120.88283,Morro Bay,New,Excellent,22,> 5,-22.9,0.24,3.8,1.2,76,1.5,2.1,0.72,0.13,0.5,0.43,0.72,0.53,0.71,1.9,1.1,0.03,0.11,0.07
98-130,Seep,34.36917,-119.85333,Coal Oil Point,New,Excellent,22,> 5,-23.3,0.2,3.8,0.57,74,2,2.4,0.71,0.14,0.55,0.43,0.77,0.51,0.71,1.9,1.5,0.03,0.12,0.07
98-133,Seep,34.38662,-119.51112,Summerland,New,n/a,0,> 6,-22.9,0.4,6.1,0,10,0.12,0.46,0.82,0.26,0.2,0.83,0.83,1,1.72,0.82,0.58,0.12,0.21,0.15
98-152,Seep,36.73503,-122.0338,Monterey Bay,New,n/a,0,< 5,0,0.53,10,0.73,7,0,0,0,0.3,0.2,1.1,0,0.28,0.83,1.6,0.14,0.22,0.64,0.23
99-22,Oil,34.04795,-118.23395,Wilmington field,New,n/a,0,< 5,-23.9,1.39,18,1,0,0.19,0.22,0.72,0.24,0.19,1.11,1.1,0.24,0.43,0.69,0.17,0.53,0.04,0.39
99-25,Tar,33.44178,-118.49812,Catalina Island,New,Excellent,22,> 5,-23.3,0.21,3.7,0,54,1.9,2.4,0.71,0.13,0.55,0.43,0.74,0.5,0.71,1.9,1.4,0.03,0.1,0.07
99-30,Tar,34.02283,-119.87625,Santa Cruz Island,New,Excellent,22,> 5,-23.6,0.25,3.7,0,54,1.7,2.4,0.72,0.13,0.52,0.4,0.75,0.43,0.67,2,1.7,0.03,0.07,0.08
99-31,Tar,34.02208,-119.87635,Santa Cruz Island,New,Excellent,22,> 5,-23.4,0.22,3.8,0,49,1.9,2.5,0.72,0.14,0.49,0.43,0.73,0.47,0.71,1.8,1.5,0.03,0.09,0.07
99-32,Tar,34.01992,-119.87705,Santa Cruz Island,New,Excellent,22,> 5,-23.5,0.19,3.8,0,63,2,2.5,0.69,0.13,0.57,0.42,0.74,0.48,0.77,1.9,1.9,0.03,0.11,0.07
99-34,Tar,34.017,-119.87973,Santa Cruz Island,New,n/a,0,> 6,-23.4,0.2,3.7,0,48,1.1,2.3,0.71,0.14,0.54,0.43,0.73,1,1.35,1.8,0.67,0.06,0.21,0.08
99-35,Tar,34.01832,-119.87887,Santa Cruz Island,New,Excellent,22,> 5,-23.6,0.26,3.7,0,53,1.8,2.5,0.73,0.13,0.54,0.4,0.74,0.44,0.71,2,1.8,0.03,0.12,0.08
99-40,Tar,34.06262,-119.91708,Santa Cruz Island,New,Excellent,22,> 5,-23.5,0.2,3.8,0,64,2,2.5,0.71,0.13,0.55,0.42,0.76,0.49,0.71,2,1.7,0.03,0.11,0.07
99-41,Tar,34.05842,-119.91568,Santa Cruz Island,New,Excellent,22,> 5,-23.4,0.2,3.6,0,45,1.5,2.1,0.73,0.14,0.59,0.42,0.75,0.5,0.77,1.9,1.4,0.03,0.11,0.07
99-42,Tar,34.05835,-119.91853,Santa Cruz Island,New,Excellent,22,> 5,-23.4,0.2,3.8,0,67,2,2.5,0.7,0.1,0.62,0.42,0.75,0.5,0.71,2,1.7,0.03,0.11,0.07
99-46,Tar,33.96748,-119.7074,Santa Cruz Island,New,Good,22,> 5,-23.5,0.21,3.7,0.78,47,1.6,2.1,0.69,0.14,0.52,0.43,0.73,0.62,0.91,1.8,1.4,0.04,0.13,0.07
99-49,Tar,33.96873,-119.7077,Santa Cruz Island,New,Excellent,22,> 5,-23.6,0.19,3.7,0.9,64,2.2,2.7,0.69,0.13,0.54,0.43,0.74,0.49,0.71,1.9,1.8,0.03,0.11,0.07
99-51,Tar,34.01595,-119.62195,Santa Cruz Island,New,Excellent,22,> 5,-23.3,0.2,3.6,0.95,60,2.2,2.6,0.69,0.13,0.57,0.42,0.74,0.48,0.71,1.9,1.8,0.03,0.11,0.07
99-52,Tar,34.01595,-119.62195,Santa Cruz Island,New,n/a,0,< 5,-24.8,0,1.9,0.47,0,1,2.6,0,1.6,0.56,1,0.57,0.09,0.77,2,8.9,0.07,0.16,0.93
99-53,Seep,34.01608,-119.61967,Santa Cruz Island,New,n/a,0,< 5,-23.9,0.17,4.3,0.61,135,0,0,0.59,0.22,0.34,0.63,0.9,0.31,1.09,1.5,8.8,0.02,0.88,0
99-56,Tar,34.01965,-119.68215,Santa Cruz Island,New,n/a,0,> 5,-23.5,0.2,3.6,1.1,41,1.5,2.2,0.71,0.14,0.53,0.43,0.73,0.73,1.03,1.8,1.4,0.04,0.15,0.07
99-57,Tar,34.01902,-119.6829,Santa Cruz Island,New,No fit,32,> 5,-23.6,0.2,3.5,0,42,1.2,2.3,0.72,0.14,0.53,0.42,0.74,1,1.32,1.8,0.66,0.06,0.21,0.08
99-64,Tar,33.98417,-119.66517,Santa Cruz Island,New,Excellent,22,> 5,-23.6,0.2,3.7,0.92,56,2.1,2.7,0.7,0.13,0.53,0.42,0.75,0.47,0.71,1.9,1.7,0.03,0.11,0.07
99-65,Tar,33.98417,-119.66517,Santa Cruz Island,New,Excellent,22,> 5,-23.7,0.2,3.5,0,55,2,2.4,0.69,0.14,0.52,0.42,0.74,0.47,0.71,1.8,1.6,0.03,0.1,0.07
99-67,Tar,34.24428,-119.26768,Ventura,New,Excellent,22,> 5,-23.4,0.2,3.6,0,53,2,2.4,0.71,0.14,0.53,0.43,0.76,0.5,0.71,1.9,1.5,0.03,0.1,0.07
99-90,Seep,34.38662,-119.51112,Summerland,New,n/a,0,> 6,-22.9,0.38,6,0,9,0.33,0.68,1.3,0.29,0.19,0.83,0.8,0,25,0,16,1.6,2.7,0.15
99-92,Tar,34.85883,-120.611,Casmalia,New,Excellent,22,> 5,-23.2,0.2,3.6,0,52,2,2.4,0.71,0.16,0.52,0.43,0.73,0.48,0.77,1.9,1.6,0.03,0.1,0.07
99-94,Tar,34.85883,-120.611,Casmalia,New,Excellent,22,> 5,-23.5,0.2,3.6,0,50,2.1,2.5,0.71,0.16,0.53,0.43,0.73,0.48,0.77,1.9,1.6,0.03,0.1,0.08
99-102,Oil,36.23,-120.386,Coalinga field,New,n/a,0,> 6,-28.1,1.59,3.3,0,20,0.3,0.42,0.71,0.16,0.22,0.55,0.78,1.3,3.13,0.96,0,1.6,0.38,0.79
99-104,Oil,36.23,-120.386,Coalinga field,New,n/a,0,> 6,-28.1,1.18,3.4,0,37,0,0,0.77,0.19,0.22,0.57,0.8,0,4.55,0,0,6,1.5,1.7
99-107,Tar,35.05328,-119.59145,Maricopa,New,n/a,0,> 6,-23.6,0.63,5.2,0,18,0,0.71,0.86,0.22,0.16,0.62,0.94,0,2.86,0,0.6,3.8,1.3,0.49
00-36,Tar,38.07778,-122.97493,Point Reyes,New,Excellent,22,> 5,-23.3,0.2,3.6,0,53,2,2.5,0.72,0.16,0.51,0.43,0.73,0.5,0.77,1.9,1.6,0.03,0.11,0.07
00-39,Tar,38.04753,-122.98967,Point Reyes,New,Excellent,22,> 5,-23.2,0.19,3.4,0.83,48,2,2.4,0.7,0.16,0.51,0.42,0.72,0.46,0.71,1.8,1.7,0.03,0.09,0.07
00-49,Tar,38.02537,-122.88363,Limintour,New,Excellent,22,> 5,-23.1,0.22,3.4,0,48,2,2.3,0.71,0.16,0.5,0.43,0.69,0.45,0.71,1.8,1.5,0.03,0.1,0.07
00-65,Tar,37.7237,-122.50628,Funston,New,Excellent,22,> 5,-23.2,0.19,3.7,0,67,2.2,2.5,0.7,0.15,0.55,0.4,0.74,0.48,0.77,1.9,1.9,0.03,0.11,0.07
00-79,Seep,36.93017,-121.59092,Sargent field,New,n/a,0,> 6,-24.2,0.56,5,0,55,0,0,0.88,0.28,0.18,0.68,0.89,0,6.67,0,0.76,4.6,2,1.1
00-80,Seep,36.93197,-121.5925,Sargent field,New,No fit,0,> 5,-23.6,0.59,4.4,0,13,0,0.15,0.56,0.15,0.3,0.79,0.87,0.71,1.43,1,0.23,0.53,0.15,0.22
00-81,Seep,36.93447,-121.55657,Sargent field,New,n/a,0,> 5,-24.1,1.43,5.3,0,6,0,0.22,0.88,0.21,0.19,0.71,0.87,1.6,3.13,1.8,0.7,3.8,1.8,1.3
00-96,Seep,34.42734,-119.09101,Sulphur Springs,New,n/a,0,> 5,-23.1,0.48,8.3,0.18,15,0.28,0,0.81,0,0,0,0,0.33,0.63,0,0.38,0.06,0.08,0
00-97,Tar,34.42654,-119.09079,Sulphur Springs,New,n/a,0,> 5,-22.8,0.5,8.2,0.17,18,0.26,0,0.86,5.9,0,0,0,0.45,0.83,0,0.4,0.09,0.09,0
00-98,Tar,33.94237,-119.97147,Santa Rosa Island,New,Excellent,22,> 5,-23.3,0.21,3.6,0.87,48,2,2.6,0.81,0.17,0.54,0.43,0.77,0.5,0.71,2,1.6,0.03,0.11,0.07
00-99,Tar,33.94237,-119.97147,Santa Rosa Island,New,Good,32,> 5,-22.6,0.2,3,0,124,3.2,3.8,0,0.14,0.68,0.36,0,0.56,0.67,2.4,0.43,0.03,0.1,0.06
00-100,Tar,33.94237,-119.97147,Santa Rosa Island,New,Excellent,22,> 5,-23.1,0.21,3.5,0,46,2,2.4,0,0.18,0.48,0.43,0,0.49,0.67,2,1.6,0.03,0.11,0.07
00-101,Tar,33.94237,-119.97147,Santa Rosa Island,New,Excellent,22,> 5,-22.9,0.25,3.6,0,56,1.8,2.2,0,0.17,0.46,0.43,0,0.48,0.71,2,1.5,0.03,0.11,0.07
00-103,Tar,33.94264,-119.9683,Santa Rosa Island,New,Excellent,22,> 5,-23.2,0.21,3.6,0,66,2,2.4,0,0.18,0.47,0.42,0,0.49,0.71,2,1.7,0.03,0.11,0.07
00-105,Tar,33.94342,-119.96945,Santa Rosa Island,New,Excellent,22,> 5,-23.1,0.22,3.7,1.1,57,1.6,2.3,0,0.18,0.47,0.43,0,0.52,0.77,2.1,1.6,0.03,0.13,0.07
00-106,Tar,33.94342,-119.96945,Santa Rosa Island,New,Excellent,22,> 5,-23.1,0.21,3.5,0,52,1.9,2.4,0,0.18,0.48,0.43,0,0.51,0.67,2,1.5,0.03,0.11,0.07
00-107,Tar,33.982,-119.99132,Santa Rosa Island,New,Excellent,22,> 5,-23,0.2,3.6,0,49,1.5,2.3,0,0.17,0.46,0.43,0,0.5,0.71,2,1.5,0.03,0.11,0.07
00-108,Tar,33.982,-119.99132,Santa Rosa Island,New,n/a,0,>,-23.1,0.2,3.7,0,67,1.2,2.2,0,0.17,0.48,0.42,0,1.2,1.56,1.9,1.3,0.07,0.27,0.07
00-110,Tar,33.98043,-119.9991,Santa Rosa Island,New,Excellent,22,> 5,-23,0.22,3.5,0,53,1.5,2.3,0,0.18,0.48,0.42,0,0.5,0.77,2,1.5,0.04,0.11,0.07
00-114,Tar,34.01618,-120.15398,Santa Rosa Island,New,Excellent,22,> 5,-23.2,0.2,3.5,0,46,2,2.4,0,0.2,0.48,0.43,0,0.5,0.71,2,1.7,0.03,0.1,0.07
00-115,Tar,34.01543,-120.15535,Santa Rosa Island,New,Excellent,22,> 5,-22.9,0.23,3.9,0.95,37,1.9,2.3,0,0.17,0.47,0.43,0,0.47,0.67,1.9,1.5,0.03,0.1,0.07
00-117,Tar,34.01338,-120.1584,Santa Rosa Island,New,Excellent,22,> 5,-23.2,0.21,3.7,0,58,2,2.4,0,0.18,0.47,0.42,0,0.49,0.71,2,1.7,0.03,0.11,0.07
00-118,Tar,34.00253,-120.16665,Santa Rosa Island,New,Excellent,22,> 5,-23.2,0.21,3.7,0,52,2,2.4,0,0.18,0.45,0.43,0,0.5,0.71,1.9,1.6,0.03,0.11,0.07
00-119,Tar,34.00882,-120.16608,Santa Rosa Island,New,Excellent,22,> 5,-23.1,0.22,3.7,0,61,2,2.4,0,0.17,0.49,0.4,0,0.48,0.67,2,1.8,0.03,0.11,0.07
00-120,Tar,34.01422,-120.15697,Santa Rosa Island,New,Excellent,22,> 5,-23.1,0.21,3.7,0.71,49,2,2.4,0.78,0.15,0.53,0.42,0.76,0.48,0.71,1.9,1.9,0.03,0.11,0.07
00-125,Tar,34.00765,-120.23875,Santa Rosa Island,New,Excellent,22,> 5,-23.2,0.24,3.9,0.97,44,1.7,2.3,0.83,0.18,0.43,0.43,0.77,0.47,0.67,2,1.4,0.03,0.11,0.07
00-126,Tar,34.00718,-120.23882,Santa Rosa Island,New,Excellent,22,> 5,-23.1,0.21,3.6,0,55,2,2.5,0.72,0.18,0.46,0.42,0,0.5,0.67,1.9,1.5,0.03,0.1,0.07
00-129,Tar,34.00633,-120.23935,Santa Rosa Island,New,Excellent,22,> 5,-23,0.32,3.9,0,27,1.2,1.8,0.75,0.14,0.49,0.45,0,0.45,0.67,1.8,1.4,0.04,0.14,0.09
00-131,Tar,34.00505,-120.24053,Santa Rosa Island,New,Excellent,22,> 5,-23,0.22,3.3,0.88,43,1.5,1.7,0.71,0.18,0.46,0.45,0.68,0.48,0.71,1.8,1.5,0.03,0.1,0.07
00-144,Tar,33.91658,-120.05002,Santa Rosa Island,New,Excellent,22,> 5,-23.1,0.2,3.7,0,63,2,2.3,0.77,0.18,0.48,0.42,0.77,0.48,0.71,1.9,1.4,0.03,0.11,0.07
00-152,Tar,33.909,-120.08677,Santa Rosa Island,New,Excellent,22,> 5,-23.1,0.21,3.7,0,55,2,2.4,0.77,0.18,0.49,0.43,0.76,0.48,0.67,2,1.6,0.03,0.11,0.07
00-154,Tar,33.90932,-120.094,Santa Rosa Island,New,Excellent,22,> 5,-23.1,0.21,3.7,0,55,2,2.5,0.75,0.18,0.49,0.42,0.76,0.5,0.71,2,1.7,0.03,0.12,0.07
00-159,Tar,33.96725,-119.97805,Santa Rosa Island,New,Excellent,22,> 5,-23.2,0.22,3.8,0,63,2,2.5,0.76,0.17,0.48,0.43,0.76,0.5,0.71,2,1.6,0.03,0.11,0.07
00-201,Seep,34.40167,-119.89013,Coal Oil Point,New,n/a,0,> 6,-22.8,0.32,5.3,0,18,0.53,1.2,0.8,0.22,0.35,0.59,0.83,0.47,2.63,1.9,1.5,0.26,0.36,0.09
01-14,Tar,34.55415,-120.6115,Boathouse,New,Excellent,22,> 5,-23.6,0.23,3.4,0,21,1.7,2.6,0.81,0.23,0.45,0.4,0.73,0.48,0.67,1.8,1.5,0.03,0.1,0.09
01-15,Tar,34.55415,-120.6115,Boathouse,New,Excellent,22,> 5,-23.5,0.24,3.4,1,34,2,2.5,0.8,0.24,0.47,0.42,0.74,0.49,0.67,1.9,1.6,0.03,0.1,0.11
01-16,Tar,34.55415,-120.6115,Boathouse,New,Excellent,22,> 5,-23.6,0.26,3.3,0,28,1.8,2.6,0.87,0.24,0.42,0.4,0.72,0.48,0.71,1.9,1.5,0.03,0.1,0.1
01-18,Tar,34.55415,-120.6115,Boathouse,New,Excellent,22,> 5,-23,0.23,3.2,0,23,1.9,2.7,0.82,0.25,0.44,0.4,0.74,0.48,0.71,1.9,1.5,0.03,0.1,0.1
01-21,Tar,34.52132,-120.51037,Jalama,New,Excellent,22,> 5,-23.5,0.25,3.4,1.2,29,2.1,2.4,0.84,0.25,0.45,0.4,0.71,0.47,0.71,1.9,1.7,0.03,0.1,0.11
01-22,Tar,34.51798,-120.50767,Jalama,New,Excellent,22,> 5,-23.4,0.25,3.4,0,29,2.1,2.6,0.84,0.23,0.46,0.38,0.72,0.45,0.67,1.9,1.8,0.03,0.1,0.1
01-23,Tar,34.52302,-120.51176,Jalama,New,Excellent,22,> 5,-23.2,0.26,3.3,1.1,33,1.9,2.4,0.84,0.23,0.43,0.4,0.73,0.45,0.71,1.7,1.6,0.03,0.09,0.11
01-24,Tar,34.51228,-120.50353,Jalama,New,Excellent,22,> 5,-23.4,0.24,3.5,1.1,34,2,2.5,0.82,0.24,0.45,0.4,0.73,0.45,0.71,1.9,1.7,0.03,0.1,0.11
